imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt9357288,Doll House,Doll House,2020,2020-03-23,Horror,85,UK,English,Steven M. Smith,"Christopher Jolley, Steven M. Smith",ChampDog Films,"Mark Wingett, Toyah Willcox, Jon-Paul Gates, Louisa Warren, J. Taviner, Steven M. Smith, Paul Danan, Kate Lush, Jennifer Leahey, Luke Stevenson, Saskia Sheridan, Lxa Lynch, Sarah Dorsett, Amelia Anderson, Connor Starling","A 11 years old girl arrives at a foster home, bringing her doll and dollhouse. Soon after, strange things begin to happen and everyone is in danger.",2.4,185,$ 30000,,,,18.0,5.0
tt9358106,Dolce fine giornata,Dolce fine giornata,2019,2019-05-10,Drama,92,Poland,"Italian, Polish, French",Jacek Borcuch,"Jacek Borcuch, Marcin Cecko",No Sugar Films,"Krystyna Janda, Kasia Smutniak, Antonio Catania, Lorenzo de Moor, Vincent Riotta, Robin Renucci, Mila Borcuch, Arjun Talwar, Wiktor Benicki, Dominik Wojcik, Christian Argentino, Paco Rizzo, Zbigniew Modej, Luca Grossale, Marcello Maietta",The stable family life of a poetess begins to fall apart as she makes a controversial speech to appreciation.,6.0,464,,,$ 747716,,1.0,10.0
tt9358120,Wî â Ritoru Zonbîzu,Wî â Ritoru Zonbîzu,2019,2019-06-14,"Drama, Music",120,Japan,Japanese,Makoto Nagahisa,Makoto Nagahisa,Dentsu,"Keita Ninomiya, Mondo Okumura, Satoshi Mizuno, Sena Nakajima, Masaaki Akahori, Chai, Eriko Hatsune, Sôsuke Ikematsu, Nobue Iketani, Akito Inui, Seikô Itô, Kappy, Naruyoshi Kikuchi, Rinko Kikuchi, Shin'ya Kiyozuka",Four Japanese orphans form a rock band.,6.9,475,,,,76.0,5.0,49.0
tt9358136,Los tiburones,Los tiburones,2019,2019-06-06,Drama,80,"Uruguay, Argentina, Spain",Spanish,Lucía Garibaldi,Lucía Garibaldi,Montelona Cine,"Romina Bentancur, Federico Morosini, Fabián Arenillas, Antonella Aquistapache, Valeria Lois, Bruno Pereyra, Jorge Portillo",Two young lovers embark on a relationship while a rumor of sharks at the beach has everyone talking.,5.8,244,,,$ 16004,,1.0,18.0
tt9358160,Light from Light,Light from Light,2019,2019-11-01,Drama,82,USA,English,Paul Harrill,Paul Harrill,Sailor Bear,"Marin Ireland, Jim Gaffigan, Josh Wiggins, Atheena Frizzell, David Cale, Rhoda Griffis, Michael Hampton, Christopher Ward, Michala Plato","A single mom and part-time paranormal investigator is asked to look into a possible ""haunting"" at a widower's farmhouse in East Tennessee.",5.7,362,,$ 24808,$ 24808,80.0,6.0,22.0
tt9358486,Como Novio de Pueblo,Como Novio de Pueblo,2019,2019-03-15,Comedy,121,Mexico,Spanish,Joe Rendón,"Joe Rendón, Joe Rendón",Traziende Films,"José María de Tavira, Martín Altomaro, Ricardo Polanco, Regina Blandón, Damayanti Quintanar, Marianna Burelli, Emiliano Saiz y Madrid, Víctor Huggo Martin, Alicia Jaziz, Martha Claudia Moreno, Mary Paz Mata, Daniel Tovar, Greta Cervantes, Aarón Balderi, Juan Lecanda","After getting left at the altar, Diego gets to be taken away by his cousins on a vacation to their childhood town to Puerto Vallarta to overcome his heartbreak.",5.5,259,,,$ 2918483,,,
tt9359344,"Ti amo, imbecille","Te quiero, imbécil",2020,2020-01-24,Comedy,87,Spain,Spanish,Laura Mañá,"Abraham Sastre, Iván Bouso",Brutal Media,"Quim Gutiérrez, Natalia Tena, Alfonso Bassave, Ernesto Alterio, Alba Ribas, Patricia Vico, Francesc Albiol, Núria Valls, David Lifschitz, Xavi Francés, José Pérez Ocaña, José García Ruiz, Laia Ferré, Vanessa Castro, Noelia Rueda",Marcos' life turns upside down after he loses the same day his girlfriend and his job. Marcos' life turns wild after to meet Raquel.,5.8,2215,,,$ 482113,,11.0,15.0
tt9362694,Vecchi rancori,Deadly Assistant,2019,2019-05-17,Drama,90,USA,English,Daphne Zuniga,"Blaine Chiappetta, Nicole Schubert",Protege Productions,"Jeannette Sousa, Breanne Parhiala, Keenan Tracey, Philip Boyd, Houston Rhines, Kate Gilligan, Julienne Irons, Mike Capozzi, Autumn Federici, Ryan Anthony, Randy Devine, Ansa Woo",A woman's attempt to reconnect with her estranged family ends with murder and suspicion.,5.0,113,,,,,6.0,2.0
tt9363208,The Guest,The Guest,2018,2019-10-03,Thriller,99,Egypt,Arabic,Hadi El Bagoury,Ibrahim Issa,iProductions,"Khaled El-Sawi, Ahmed Malek, Sherine Reda, Jamila Awad, Arfah Abdulrasool, Maged El-Kidwani, Mahmoud Ellisy, Mohamed Mamdouh","The Guest tells the story of a young man who visits a family during dinner, and then the events develop in a direction that no one expects.",6.6,601,,,,,9.0,
tt9364210,La villa del mistero,Scare BNB,2019,2019-05-30,Thriller,90,USA,English,Damián Romay,James S. 'Jamie' Brown,Sunshine Films Florida,"Christie Burson, Tilky Jones, Laura Ault, Karlee Eldridge, Shein Mompremier, Patrick Michael Buckley, Anja Akstin, Antoni Corone, Abi Goldstein, Fedor Steer",Friends who are staying at a stunning home-share rental begin to suspect that something is not quite right with the property's charming and handsome host.,4.7,177,,,,,5.0,2.0
